timestamp,domain,issuer,tls_version,expires_on,days_left,risk_level,renewal_required
2026-01-30T08:07:00.731428,apple.com,Apple Inc.,TLSv1.3,2026-03-31,60,WARNING,False
2026-01-30T08:07:00.871518,sciencedirect.com,Google Trust Services,TLSv1.3,2026-04-02,62,WARNING,False
2026-01-30T08:07:01.085204,springer.com,Let's Encrypt,TLSv1.3,2026-03-27,56,WARNING,False
2026-01-30T08:07:03.095589,ieee.org,GlobalSign nv-sa,TLSv1.3,2026-05-05,95,SAFE,False
2026-01-30T08:07:03.217753,paypal.com,DigiCert Inc,TLSv1.3,2026-07-07,158,SAFE,False
2026-01-30T08:07:03.362712,visa.com,"CLOUDFLARE, INC.",TLSv1.3,2026-10-04,247,SAFE,False
2026-01-30T08:07:04.409226,mastercard.com,DigiCert Inc,TLSv1.2,2026-05-19,109,SAFE,False
2026-01-30T08:07:04.578367,hdfcbank.com,DigiCert Inc,TLSv1.3,2026-04-03,63,WARNING,False
2026-01-30T08:07:05.105862,india.gov.in,Let's Encrypt,TLSv1.3,2026-04-22,82,WARNING,False
2026-01-30T08:07:05.260709,gov.uk,GlobalSign nv-sa,TLSv1.3,2026-12-28,332,SAFE,False
2026-01-30T08:07:06.158801,usa.gov,Let's Encrypt,TLSv1.3,2026-04-20,80,WARNING,False
2026-01-30T08:07:06.464579,who.int,Google Trust Services,TLSv1.3,2026-03-07,36,CRITICAL,True
2026-01-30T08:07:07.835457,un.org,COMODO CA Limited,TLSv1.2,2026-09-05,218,SAFE,False
2026-01-30T08:07:07.922531,flipkart.com,GlobalSign nv-sa,TLSv1.3,2026-07-17,167,SAFE,False
2026-01-30T08:07:08.048989,shopify.com,Google Trust Services,TLSv1.3,2026-03-17,46,CRITICAL,True
2026-01-30T08:07:08.312708,ebay.com,Sectigo Limited,TLSv1.3,2026-07-28,179,SAFE,False
2026-01-30T08:07:08.451616,aws.amazon.com,Amazon,TLSv1.3,2026-10-17,260,SAFE,False
2026-01-30T08:07:08.584314,azure.microsoft.com,Microsoft Corporation,TLSv1.3,2026-07-11,162,SAFE,False
2026-01-30T08:07:08.760767,digitalocean.com,Google Trust Services,TLSv1.3,2026-04-18,77,WARNING,False
